Property_Area,Gender,Married,Education,Self_Employed,ApplicantIncome,LoanAmount,CoapplicantIncome,Property_Value,Loan_Sanctioned,Loan_Term
Rural,Male,Yes,Graduate,No,380389,10624.0,125164.0,32188977,Yes,180
Urban,Male,Yes,Graduate,Yes,249000,5478.0,0.0,219128632,Yes,120
Urban,Male,Yes,Not Graduate,No,214389,9960.0,195714.0,232416683,Yes,120
Urban,Male,No,Graduate,No,498000,11703.0,0.0,232814751,Yes,180
Urban,Male,Yes,Not Graduate,No,193639,7885.0,125828.0,235532005,No,120
Urban,Male,Yes,Graduate,No,265600,5810.0,58100.0,154455032,Yes,120
Urban,Male,Yes,Graduate,,207500,9047.0,152720.0,230734937,Yes,120
Rural,Male,No,Graduate,No,153799,9462.0,235720.0,47902786,No,120
Urban,Male,Yes,Graduate,No,107817,1411.0,90138.0,225817934,No,60
Urban,Male,No,Graduate,No,410850,10375.0,0.0,221987401,Yes,180
Urban,Male,No,Not Graduate,No,298468,8300.0,0.0,221653575,No,120
Urban,Female,No,Graduate,No,291330,6308.0,0.0,152590603,No,120
Rural,Male,Yes,Not Graduate,No,405621,11039.0,0.0,61045089,Yes,180
Urban,Male,Yes,Graduate,,215800,9545.0,290500.0,191176888,Yes,120
Urban,Male,Yes,Not Graduate,No,635780,8632.0,0.0,188559898,No,120
Semiurban,Male,Yes,Not Graduate,No,215800,9628.0,158613.0,69315624,No,120
Rural,,Yes,Not Graduate,No,279295,9296.0,159111.0,62387531,No,120
Semiurban,Male,Yes,Graduate,No,232317,10126.0,186999.0,113777147,Yes,180
Urban,Male,Yes,Not Graduate,No,350758,9130.0,86320.0,162576748,Yes,120
Urban,Male,No,Not Graduate,No,119686,2905.0,0.0,217177883,No,60
Semiurban,Female,No,Graduate,,311250,9960.0,172889.0,78454173,Yes,120
Urban,Male,No,Graduate,No,262861,6142.0,0.0,170189176,Yes,120
Rural,Male,No,Graduate,Yes,389436,8798.0,0.0,62588474,Yes,120
Semiurban,Male,Yes,Graduate,No,290500,9462.0,138361.0,118672985,Yes,120
Urban,Male,Yes,Graduate,No,151724,8300.0,110390.0,155033459,No,120
Semiurban,Female,Yes,Graduate,No,304361,11952.0,121097.0,77874252,Yes,180
Semiurban,Male,No,Not Graduate,No,311084,9130.0,138444.0,96394125,Yes,120
Urban,Male,No,Graduate,No,298800,6640.0,0.0,206831020,Yes,120
Urban,Male,No,Graduate,No,149400,3901.0,100679.0,187434833,No,60
Urban,Male,Yes,Graduate,No,199200,6225.0,0.0,210212191,No,120
Semiurban,Male,Yes,Graduate,No,327103,11122.0,193888.0,95617743,Yes,180
Urban,Male,Yes,Not Graduate,Yes,389685,7968.0,0.0,158348977,Yes,120
Urban,Female,No,Graduate,No,283030,7304.0,0.0,133393782,Yes,120
Urban,Male,Yes,Graduate,No,468867,3652.0,0.0,229900455,Yes,60
Urban,Male,Yes,Graduate,No,483143,11952.0,0.0,227595545,Yes,180
Urban,Female,Yes,Graduate,No,219535,9960.0,285520.0,148010248,No,120
Semiurban,Female,No,Graduate,No,332000,11952.0,188825.0,85335952,Yes,180
Semiurban,Female,Yes,Not Graduate,No,160024,8300.0,136452.0,108603508,No,120
Semiurban,Female,No,Graduate,No,256138,9960.0,0.0,123312436,Yes,120
Semiurban,Female,No,Graduate,No,351090,9296.0,0.0,67880803,Yes,120
Urban,Male,Yes,Graduate,No,383128,11122.0,0.0,195067098,Yes,180
Semiurban,Male,Yes,Graduate,No,224764,8051.0,96861.0,85567688,Yes,120
Semiurban,Male,Yes,Graduate,No,176956,7968.0,132053.0,102594889,No,120
Rural,Male,Yes,Graduate,No,279378,11205.0,182600.0,42961713,Yes,180
Urban,Male,Yes,Not Graduate,No,278631,11952.0,237297.0,185195908,Yes,180
Urban,Male,Yes,Graduate,No,207500,9960.0,315068.0,214576497,Yes,120
Urban,Male,Yes,Graduate,No,251407,8217.0,0.0,226245633,Yes,120
Semiurban,Female,No,Graduate,No,345778,9628.0,0.0,68634692,No,120
Urban,Male,No,Not Graduate,No,265600,10458.0,187082.0,217195562,No,180
Urban,Male,Yes,Not Graduate,Yes,589300,10375.0,0.0,226944825,Yes,180
Semiurban,Female,No,Graduate,No,356900,11288.0,0.0,95257606,No,180
Semiurban,Male,Yes,Not Graduate,Yes,155625,8051.0,155625.0,123508399,No,120
Semiurban,Male,No,Graduate,No,290500,6723.0,0.0,66433947,Yes,120
Semiurban,Male,Yes,Not Graduate,No,394665,7885.0,0.0,76383904,No,120
Urban,Male,No,Graduate,No,311250,9379.0,0.0,163776181,Yes,120
Urban,Male,Yes,Graduate,Yes,83000,9130.0,250826.0,187899882,No,120
Semiurban,Male,Yes,Not Graduate,Yes,276639,10790.0,179778.0,116485354,No,180
Semiurban,Female,No,Graduate,No,319218,9213.0,0.0,111773029,Yes,120
Urban,Male,Yes,Graduate,No,331004,4150.0,0.0,196573797,Yes,60
Semiurban,Male,No,Graduate,No,196378,11288.0,210073.0,111444930,No,180
Semiurban,Male,Yes,Not Graduate,No,276639,8217.0,166000.0,108290266,No,120
Semiurban,Male,Yes,Graduate,No,207500,8632.0,175794.0,67379898,Yes,120
Semiurban,Male,Yes,Graduate,No,245514,10873.0,240700.0,116213861,Yes,180
Urban,Male,Yes,Not Graduate,No,271659,6723.0,151060.0,208124741,Yes,120
Semiurban,Male,No,Graduate,No,343039,10126.0,0.0,80654918,Yes,180
Semiurban,Male,No,Not Graduate,No,300460,2075.0,0.0,120955319,Yes,60
Semiurban,Female,Yes,Graduate,No,206172,11371.0,191066.0,82319317,Yes,180
Semiurban,Male,Yes,Graduate,No,164091,4150.0,82751.0,120300615,No,60
Semiurban,Male,Yes,Not Graduate,No,347604,9545.0,0.0,74567864,Yes,120
